Date,Delhi,Foreign Exchange Rate,Crude Oil Price
01-01-2003,19.47,48.01,29.59
02-01-2003,19.47,48.05,29.59
03-01-2003,19.07,48,29.59
04-01-2003,19.07,48,29.59
05-01-2003,19.07,48,29.59
06-01-2003,19.07,48.02,29.59
07-01-2003,19.07,47.96,29.59
08-01-2003,19.07,47.95,29.59
09-01-2003,19.07,47.95,29.59
10-01-2003,19.07,47.91,29.59
11-01-2003,19.07,47.91,29.59
12-01-2003,19.07,47.91,29.59
13-01-2003,19.07,47.99,29.59
14-01-2003,19.07,47.91,29.59
15-01-2003,19.07,47.9,29.59
16-01-2003,19.07,48.01,29.59
17-01-2003,19.07,47.91,29.59
18-01-2003,19.07,47.91,29.59
19-01-2003,19.07,47.91,29.59
20-01-2003,19.07,47.96,29.59
21-01-2003,19.07,47.95,29.59
22-01-2003,19.07,47.92,29.59
23-01-2003,19.07,47.88,29.59
24-01-2003,19.07,47.92,29.59
25-01-2003,19.07,47.92,29.59
26-01-2003,19.07,47.92,29.59
27-01-2003,19.07,48.01,29.59
28-01-2003,19.07,47.94,29.59
29-01-2003,19.07,48,29.59
30-01-2003,19.07,47.83,29.59
31-01-2003,19.07,47.85,29.59
01-02-2003,19.84,47.85,31.31
02-02-2003,19.84,47.85,31.31
03-02-2003,19.84,47.75,31.31
04-02-2003,19.84,47.82,31.31
05-02-2003,19.84,47.77,31.31
06-02-2003,19.84,47.75,31.31
07-02-2003,19.84,47.75,31.31
08-02-2003,19.84,47.75,31.31
09-02-2003,19.84,47.75,31.31
10-02-2003,19.84,47.71,31.31
11-02-2003,19.84,47.71,31.31
12-02-2003,19.84,47.6,31.31
13-02-2003,19.84,47.85,31.31
14-02-2003,19.84,47.87,31.31
15-02-2003,19.84,47.87,31.31
16-02-2003,19.84,47.87,31.31
17-02-2003,19.84,47.86,31.31
18-02-2003,19.84,47.78,31.31
19-02-2003,19.84,47.74,31.31
20-02-2003,19.84,47.71,31.31
21-02-2003,19.84,47.58,31.31
22-02-2003,19.84,47.58,31.31
23-02-2003,19.84,47.58,31.31
24-02-2003,19.84,47.69,31.31
25-02-2003,19.84,47.76,31.31
26-02-2003,19.84,47.83,31.31
27-02-2003,19.84,47.7,31.31
28-02-2003,19.84,47.68,31.31
01-03-2003,21.21,47.68,28.83
02-03-2003,21.21,47.68,28.83
03-03-2003,21.21,47.69,28.83
04-03-2003,21.21,47.79,28.83
05-03-2003,21.21,47.77,28.83
06-03-2003,21.21,47.65,28.83
07-03-2003,21.21,47.77,28.83
08-03-2003,21.21,47.77,28.83
09-03-2003,21.21,47.77,28.83
10-03-2003,21.21,47.66,28.83
11-03-2003,21.21,47.6,28.83
12-03-2003,21.21,47.68,28.83
13-03-2003,21.21,47.71,28.83
14-03-2003,21.21,47.69,28.83
15-03-2003,21.21,47.69,28.83
16-03-2003,22.12,47.69,28.83
17-03-2003,22.12,47.66,28.83
18-03-2003,22.12,47.7,28.83
19-03-2003,22.12,47.67,28.83
20-03-2003,22.12,47.73,28.83
21-03-2003,22.12,47.79,28.83
22-03-2003,22.12,47.79,28.83
23-03-2003,22.12,47.79,28.83
24-03-2003,22.12,47.68,28.83
25-03-2003,22.12,47.68,28.83
26-03-2003,22.12,47.63,28.83
27-03-2003,22.12,47.64,28.83
28-03-2003,22.12,47.57,28.83
29-03-2003,22.12,47.57,28.83
30-03-2003,22.12,47.57,28.83
31-03-2003,22.12,47.45,28.83
01-04-2003,22.12,47.46,24.21
02-04-2003,22.12,47.4,24.21
03-04-2003,22.12,47.41,24.21
04-04-2003,22.12,47.44,24.21
05-04-2003,22.12,47.44,24.21
06-04-2003,22.12,47.44,24.21
07-04-2003,22.12,47.41,24.21
08-04-2003,22.12,47.42,24.21
09-04-2003,22.12,47.35,24.21
10-04-2003,22.12,47.4,24.21
11-04-2003,22.12,47.44,24.21
12-04-2003,22.12,47.44,24.21
13-04-2003,22.12,47.44,24.21
14-04-2003,22.12,47.34,24.21
15-04-2003,22.12,47.35,24.21
16-04-2003,21.12,47.37,24.21
17-04-2003,21.12,47.39,24.21
18-04-2003,21.12,47.29,24.21
19-04-2003,21.12,47.29,24.21
20-04-2003,21.12,47.29,24.21
21-04-2003,21.12,47.36,24.21
22-04-2003,21.12,47.36,24.21
23-04-2003,21.12,47.23,24.21
24-04-2003,21.12,47.38,24.21
25-04-2003,21.12,47.37,24.21
26-04-2003,20.12,47.37,24.21
27-04-2003,20.12,47.37,24.21
28-04-2003,20.12,47.43,24.21
29-04-2003,20.12,47.4,24.21
30-04-2003,20.12,47.41,24.21
01-05-2003,20.12,47.38,24.99
02-05-2003,20.12,47.35,24.99
03-05-2003,20.12,47.35,24.99
04-05-2003,20.12,47.35,24.99
05-05-2003,20.12,47.34,24.99
06-05-2003,20.12,47.33,24.99
07-05-2003,20.12,47.31,24.99
08-05-2003,20.12,47.25,24.99
09-05-2003,20.12,47.24,24.99
10-05-2003,20.12,47.24,24.99
11-05-2003,20.12,47.24,24.99
12-05-2003,20.12,47.17,24.99
13-05-2003,20.12,47.16,24.99
14-05-2003,20.12,47.12,24.99
15-05-2003,20.12,47.19,24.99
16-05-2003,19.18,47.1,24.99
17-05-2003,19.18,47.1,24.99
18-05-2003,19.18,47.1,24.99
19-05-2003,19.18,47.11,24.99
20-05-2003,19.18,46.95,24.99
21-05-2003,19.18,46.89,24.99
22-05-2003,19.18,46.86,24.99
23-05-2003,19.18,46.87,24.99
24-05-2003,19.18,46.87,24.99
25-05-2003,19.18,46.87,24.99
26-05-2003,19.18,46.82,24.99
27-05-2003,19.18,46.87,24.99
28-05-2003,19.18,46.89,24.99
29-05-2003,19.18,46.94,24.99
30-05-2003,19.18,47.01,24.99
31-05-2003,19.18,47.01,24.99
01-06-2003,19.08,47.01,26.43
02-06-2003,19.08,47.05,26.43
03-06-2003,19.08,47.11,26.43
04-06-2003,19.08,46.85,26.43
05-06-2003,19.08,46.88,26.43
06-06-2003,19.08,46.89,26.43
07-06-2003,19.08,46.89,26.43
08-06-2003,19.08,46.89,26.43
09-06-2003,19.08,46.89,26.43
10-06-2003,19.08,46.9,26.43
11-06-2003,19.08,46.75,26.43
12-06-2003,19.08,46.7,26.43
13-06-2003,19.08,46.68,26.43
14-06-2003,19.08,46.68,26.43
15-06-2003,19.08,46.68,26.43
16-06-2003,19.08,46.74,26.43
17-06-2003,19.08,46.65,26.43
18-06-2003,19.08,46.57,26.43
19-06-2003,19.08,46.58,26.43
20-06-2003,19.08,46.5,26.43
21-06-2003,19.08,46.5,26.43
22-06-2003,19.08,46.5,26.43
23-06-2003,19.08,46.53,26.43
24-06-2003,19.08,46.66,26.43
25-06-2003,19.08,46.59,26.43
26-06-2003,19.08,46.5,26.43
27-06-2003,19.08,46.48,26.43
28-06-2003,19.08,46.48,26.43
29-06-2003,19.08,46.48,26.43
30-06-2003,19.08,46.44,26.43
01-07-2003,19.08,46.35,27.46
02-07-2003,19.08,46.44,27.46
03-07-2003,19.08,46.41,27.46
04-07-2003,19.08,46.35,27.46
05-07-2003,19.08,46.35,27.46
06-07-2003,19.08,46.35,27.46
07-07-2003,19.08,46.32,27.46
08-07-2003,19.08,46.32,27.46
09-07-2003,19.08,46.26,27.46
